"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","137","Попытка обновления поля без авторизации: email","tests","Sat May 24 20:57:04 SAMT 2025","passed","Sat May 24 20:57:04 SAMT 2025","","test_auth_api","",""
"","218","Регистрация нового уникального пользователя","tests","Sat May 24 20:57:09 SAMT 2025","passed","Sat May 24 20:57:09 SAMT 2025","","test_reg_api","",""
"","134","Попытка авторизации с невалидными данными: email=, password=","tests","Sat May 24 20:57:05 SAMT 2025","passed","Sat May 24 20:57:05 SAMT 2025","","test_login_api","",""
"","140","Попытка авторизации с невалидными данными: email=invalid@example.com, password=wrongpass","tests","Sat May 24 20:57:05 SAMT 2025","passed","Sat May 24 20:57:05 SAMT 2025","","test_login_api","",""
"","239","Попытка авторизации с невалидными данными: email=, password=validpass","tests","Sat May 24 20:57:05 SAMT 2025","passed","Sat May 24 20:57:05 SAMT 2025","","test_login_api","",""
"","132","Попытка обновления поля без авторизации: name","tests","Sat May 24 20:57:04 SAMT 2025","passed","Sat May 24 20:57:04 SAMT 2025","","test_auth_api","",""
"","422","Попытка регистрации без обязательного поля: email","tests","Sat May 24 20:57:09 SAMT 2025","passed","Sat May 24 20:57:10 SAMT 2025","","test_reg_api","",""
"","531","Создание заказа с невалидными ингредиентами","tests","Sat May 24 20:57:08 SAMT 2025","passed","Sat May 24 20:57:09 SAMT 2025","","test_order_api","",""
"","597","Создание заказа без ингредиентов","tests","Sat May 24 20:57:07 SAMT 2025","passed","Sat May 24 20:57:08 SAMT 2025","","test_order_api","",""
"","144","Попытка авторизации с невалидными данными: email=valid@example.com, password=","tests","Sat May 24 20:57:05 SAMT 2025","passed","Sat May 24 20:57:05 SAMT 2025","","test_login_api","",""
"","142","Попытка зарегистрировать уже существующего пользователя","tests","Sat May 24 20:57:09 SAMT 2025","passed","Sat May 24 20:57:09 SAMT 2025","","test_reg_api","",""
"","139","Обновление поля пользователя с авторизацией: email","tests","Sat May 24 20:57:04 SAMT 2025","passed","Sat May 24 20:57:04 SAMT 2025","","test_auth_api","",""
"","400","Попытка регистрации без обязательного поля: password","tests","Sat May 24 20:57:10 SAMT 2025","passed","Sat May 24 20:57:10 SAMT 2025","","test_reg_api","",""
"","233","Успешная авторизация с корректными данными","tests","Sat May 24 20:57:05 SAMT 2025","passed","Sat May 24 20:57:05 SAMT 2025","","test_login_api","",""
"","422","Попытка регистрации без обязательного поля: name","tests","Sat May 24 20:57:10 SAMT 2025","passed","Sat May 24 20:57:10 SAMT 2025","","test_reg_api","",""
"","140","Создание заказа без авторизации","tests","Sat May 24 20:57:07 SAMT 2025","passed","Sat May 24 20:57:07 SAMT 2025","","test_order_api","",""
"","626","Создание заказа с авторизацией и валидными ингредиентами","tests","Sat May 24 20:57:06 SAMT 2025","passed","Sat May 24 20:57:07 SAMT 2025","","test_order_api","",""
"","132","Обновление поля пользователя с авторизацией: name","tests","Sat May 24 20:57:03 SAMT 2025","passed","Sat May 24 20:57:03 SAMT 2025","","test_auth_api","",""
